asset_id,group,animation,frame_entries,unique_visible_frames,unique_trimmed_silhouettes,unique_png_paths
survivor,characters,idle_s,1,1,1,1
survivor,characters,idle_e,1,1,1,1
survivor,characters,idle_n,1,1,1,1
survivor,characters,idle_w,1,1,1,1
survivor,characters,walk_s,4,4,4,4
survivor,characters,walk_e,4,4,4,4
survivor,characters,walk_n,4,4,4,4
survivor,characters,walk_w,4,4,4,4
shambler,characters,idle_s,1,1,1,1
shambler,characters,idle_e,1,1,1,1
shambler,characters,idle_n,1,1,1,1
shambler,characters,idle_w,1,1,1,1
shambler,characters,walk_s,4,4,4,4
shambler,characters,walk_e,4,4,4,4
shambler,characters,walk_n,4,4,4,4
shambler,characters,walk_w,4,4,4,4
fx-pistol-muzzle,effects,play,4,4,4,4
fx-rifle-muzzle,effects,play,4,4,4,4
fx-shotgun-muzzle,effects,play,4,4,4,4
fx-metal-sparks,effects,play,4,4,4,4
fx-concrete-dust,effects,play,4,4,4,4
fx-wood-splinters,effects,play,4,4,4,4
fx-blood-hit,effects,play,4,4,4,4
fx-water-splash,effects,play,4,4,4,4
fx-explosion,effects,play,4,4,4,4
fx-flame-loop,effects,loop,4,4,4,4
fx-smoke-loop,effects,loop,4,4,4,4
fx-ejected-casing,effects,play,4,4,4,4
utility-generator-on,utility,running,4,4,4,4
utility-worklamp-activation,utility,activate,4,4,4,4
gear-vest,wearables,idle_s,1,1,1,1
gear-vest,wearables,idle_e,1,1,1,1
gear-vest,wearables,idle_n,1,1,1,1
gear-vest,wearables,idle_w,1,1,1,1
gear-helmet,wearables,idle_s,1,1,1,1
gear-helmet,wearables,idle_e,1,1,1,1
gear-helmet,wearables,idle_n,1,1,1,1
gear-helmet,wearables,idle_w,1,1,1,1
gear-gasmask,wearables,idle_s,1,1,1,1
gear-gasmask,wearables,idle_e,1,1,1,1
gear-gasmask,wearables,idle_n,1,1,1,1
gear-gasmask,wearables,idle_w,1,1,1,1
gear-backpack,wearables,idle_s,1,1,1,1
gear-backpack,wearables,idle_e,1,1,1,1
gear-backpack,wearables,idle_n,1,1,1,1
gear-backpack,wearables,idle_w,1,1,1,1
