id,label,group,category,width,height,animation_states,multi_frame_states,frame_entries,native_png_paths,opaque_pngs,transparent_pngs,fractional_alpha_pngs,state,notes
survivor,Survivor walk,characters,Characters,32,48,8,4,20,20,0,20,20,,
shambler,Shambler walk,characters,Characters,32,48,8,4,20,20,0,20,20,,
tile-asphalt-a,Slate asphalt A,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-asphalt-b,Cracked asphalt B,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-concrete-a,Worn concrete A,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-concrete-b,Chipped concrete B,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-grass-a,Olive grass A,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-grass-b,Olive grass B,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-dirt-a,Ochre dirt A,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-dirt-b,Ochre dirt B,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-wood-floor,Wood plank floor,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-interior-tile,Teal and cream floor,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-rubble,Rubble ground,environment,terrain,32,32,0,0,0,1,1,0,0,,
tile-water,Still teal water,environment,terrain,32,32,0,0,0,1,1,0,0,,
wall-plaster,Cream plaster wall,environment,architecture,64,48,0,0,0,1,0,1,1,,
wall-brick,Red brick wall,environment,architecture,64,48,0,0,0,1,0,1,1,,
wall-interior,Interior blue wall,environment,architecture,64,48,0,0,0,1,0,1,1,,
wall-corner-nw,Cream north-west corner,environment,architecture,64,64,0,0,0,1,0,1,1,,
wall-corner-ne,Cream north-east corner,environment,architecture,64,64,0,0,0,1,0,1,1,,
wall-door-closed,Olive door closed,environment,architecture,64,48,0,0,0,1,0,1,1,closed,
wall-door-open,Olive door open,environment,architecture,64,48,0,0,0,1,0,1,1,open,
wall-window-intact,Intact window,environment,architecture,64,48,0,0,0,1,0,1,1,intact,
wall-window-broken,Broken window,environment,architecture,64,48,0,0,0,1,0,1,1,broken,
wall-fence-horizontal,Chain-link fence horizontal,environment,architecture,64,32,0,0,0,1,0,1,1,,
wall-fence-vertical,Chain-link fence vertical,environment,architecture,32,64,0,0,0,1,0,1,1,,
wall-gate-closed,Chain-link gate closed,environment,architecture,64,48,0,0,0,1,0,1,1,closed,
wall-gate-open,Chain-link gate open,environment,architecture,64,48,0,0,0,1,0,1,1,open,
overlay-grass-north,Grass fringe north,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-grass-east,Grass fringe east,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-grass-south,Grass fringe south,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-grass-west,Grass fringe west,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
